UserId,ItemId
0,968 865 719 2977 443 1868 3176 1575 702 545 1185 465 637 1684 3118 2411 1681 1195 231 505 3220 751 2652 2726 2392 1269 2455 2940 1720 1268 2320 847 486 2514 1969 422 2088 1348 976 863 471 2494 2885 1020 485 1887 1063 3241 3147 2444
1,2537 454 2455 1185 1800 1059 859 706 1681 2652 1474 3049 1290 719 2163 697 609 2464 1239 417 277 3031 1193 296 2645 1088 2359 3014 485 1353 2351 2902 3142 624 147 1864 2222 644 231 2024 814 1197 365 2086 2030 1871 1386 1112 702 3127
2,2652 454 1474 1088 2555 2726 1784 346 2811 2044 1973 2883 2499 1991 987 1325 706 2320 783 1200 1868 1567 1295 954 2551 1443 1213 2176 719 117 214 100 644 470 1432 1861 2352 2537 1871 959 1736 2958 1797 1054 2472 2182 1292 2460 3241 637
3,1193 702 3178 1443 2464 767 2024 417 1197 457 865 2855 1185 770 1474 2463 2541 2652 2312 2706 1754 496 2108 2514 2030 697 1786 609 3229 1575 2547 1868 2039 663 1793 1567 2299 1424 333 1307 706 2986 234 898 2441 18 2013 3032 2359 2031
4,2837 239 2771 1203 2193 1635 955 2431 629 998 2006 1099 2785 3139 1987 981 3092 1715 565 866 613 892 3221 1167 2939 1327 537 2525 856 1886 505 1891 1743 3040 403 1405 1206 1593 1347 825 840 2050 1154 792 891 1617 2811 489 1224 1189
5,272 1756 486 1195 783 1745 2291 751 296 2351 2611 186 338 1784 346 128 2138 1605 1197 471 847 1305 3091 1417 1567 968 1456 4 398 611 1355 2388 397 3090 2841 924 1430 1579 2472 3241 2222 465 167 1901 803 1988 2977 2807 1770 2828
6,1575 465 2464 2652 1455 1868 865 987 1185 1405 2977 1195 3064 2883 2885 1386 231 2937 2463 470 2541 719 2163 2299 1474 1722 988 2474 545 1156 3014 241 2908 3241 119 2902 2115 266 2325 2117 644 1651 1861 2351 706 2855 1213 2055 3237 1150
7,1715 234 545 1444 2124 332 2338 2525 486 2232 1681 2466 1648 1014 1652 665 2771 2193 1125 292 3237 1868 3175 443 1127 895 2669 328 2671 678 1547 458 2006 1156 2822 211 2272 946 1321 3049 1048 1784 1941 2340 1421 837 401 415 277 1132
8,1268 231 1195 505 714 1941 2455 712 2652 719 486 2688 2173 92 2232 676 3031 164 1197 272 2380 1958 358 401 3189 2855 3241 2385 905 2908 1239 239 2431 2320 2351 545 2485 319 2527 2460 3079 1269 2782 1715 3186 1113 2811 1012 479 1770
9,277 960 842 2902 2638 2455 939 1614 2007 655 2602 2811 719 3220 490 2661 3150 1715 1203 3221 2845 1099 1115 2537 756 402 1765 170 397 2613 3156 2283 757 2685 1853 1828 627 1324 938 734 847 2555 751 2893 1938 2350 1132 2939 370 72
10,1575 698 2006 2547 147 100 1195 2320 714 333 1455 2133 837 2232 663 417 2070 2706 2039 2351 644 2115 443 457 2470 475 471 1681 1657 1048 231 1857 1871 1034 170 3049 1281 2022 3014 1586 3178 2805 3127 1770 1941 1130 2966 1804 1405 719
11,1290 1185 1973 702 2080 706 1402 272 2649 1023 115 2810 2291 2398 1987 1520 1755 2551 868 471 523 1226 1213 2795 2964 2555 1474 2819 3041 2182 3237 2171 2044 186 3032 1195 1871 229 1239 3035 1197 280 358 2455 454 1289 3090 2478 2393 959
12,2470 702 1195 465 987 2652 2908 2541 2022 865 2431 2885 3041 1034 2786 1197 2031 277 2464 2971 232 1185 1325 1299 2805 1956 333 471 443 417 2299 2977 1770 1001 1475 2855 2537 1470 1405 3209 1857 3189 2726 1242 545 1941 3202 1240 2351 1715
13,1054 676 856 2957 1975 505 294 2217 2362 1474 2811 3077 2431 938 3221 3079 1197 2631 2851 1383 2299 1002 825 239 1005 1001 319 2852 3210 1519 2855 3243 1094 1117 545 2089 1272 2198 1963 1006 1224 1119 1087 1103 243 2940 486 394 1560 1857
14,2652 865 1681 1474 2464 1386 2470 2537 412 2024 2351 706 3178 2312 2921 497 2022 2463 3189 2117 2072 333 275 2885 2474 115 231 92 465 1027 1088 698 319 2070 714 1800 2031 2182 1193 2546 454 1365 3209 2902 976 2805 1239 1443 1956 3147
15,2464 2022 2648 1197 609 1800 845 1200 331 1871 1386 2144 1531 682 2024 702 1452 231 1797 676 2262 319 1575 1224 3021 697 1339 1299 417 2541 241 2933 117 470 2804 3142 1686 954 1956 1474 335 454 898 2887 2474 3158 710 1812 422 1193
16,1195 702 2022 2351 272 2885 2464 277 1135 1745 486 1116 1861 3241 2652 2661 2726 2786 2030 79 1556 1407 53 417 2455 1443 3031 1001 1465 1715 1513 783 1369 2828 294 607 1185 2431 1013 2611 1501 2384 1736 2127 1162 2206 2563 2460 1871 491
17,100 2351 2811 497 2320 987 845 1088 266 1117 1348 2463 2464 296 2455 2474 2875 501 2855 3237 1498 2714 521 1577 702 1475 1299 1195 3130 1575 1002 1868 697 2431 3241 1975 3132 346 1922 1156 2649 2537 1864 2072 1857 609 1784 1396 2127 1106
18,1189 830 719 2537 706 1602 2885 968 3013 2445 1307 384 1868 1474 2652 1407 2514 1923 417 2258 294 2039 3142 698 3156 1744 1435 2262 1059 992 2651 2805 3032 1424 465 663 842 45 486 1452 1533 505 938 2845 2575 518 2902 1579 2997 1614
19,1455 3041 167 2977 1193 2537 2464 702 2320 2845 2706 2470 1343 2299 1770 521 3178 443 2841 294 1197 3176 596 1200 1307 719 1034 2652 2455 2757 2536 1167 1348 770 3078 2821 1424 1673 1648 551 1860 2127 2831 2547 2222 756 938 1443 100 2616
20,2035 767 964 280 2652 814 491 1498 2964 346 2384 2650 1348 3189 1423 251 765 2441 1990 2499 2944 3233 3148 3059 1239 2171 1651 1737 1289 2122 865 1465 1046 1204 1396 1864 1714 168 2825 1446 241 859 255 62 3090 48 1657 907 147 698
21,2821 2007 505 3031 234 847 1056 358 637 2514 1635 3040 988 1861 3237 2661 1795 2845 2070 2466 1193 1353 1127 968 2710 2283 2997 486 1784 2460 1207 2178 2024 1765 1722 2232 678 241 2862 1407 1958 1119 2551 280 2295 384 3079 676 2476 1593
22,3037 2487 3205 1034 361 1673 1307 821 117 277 1669 110 945 1300 2100 1364 1376 3127 473 162 494 2750 2066 2902 1857 1290 401 2841 3241 296 380 46 2328 3079 2917 2757 2222 639 1204 669 266 3041 1657 2384 517 2185 1237 1923 621 1397
23,1635 397 719 1861 3176 1106 1684 2007 1958 702 2710 2537 465 2845 2898 976 1593 2514 1755 1455 2070 2652 505 1804 1954 1868 161 2466 2124 2178 1715 1348 776 454 3186 92 2862 1268 1977 2014 2455 3142 1167 486 371 2262 2836 522 698 1621
24,471 372 334 1430 1325 72 971 1012 465 2075 454 2807 1219 2885 231 264 335 1279 3041 1407 2173 1349 3186 486 1218 589 1324 398 117 1305 751 1496 1846 457 1194 213 3083 2899 968 1213 2521 910 1576 1857 1452 3026 545 86 1663 2127
25,2547 1756 2359 2750 2086 1443 1793 3071 167 485 2747 3037 1197 517 976 1563 1560 3207 3026 2664 1302 1053 2827 848 663 2749 1657 2031 859 624 2783 1656 2411 173 1195 600 703 2185 945 1579 1135 988 2536 741 1949 749 1193 2214 1416 1065
26,294 1414 1209 2350 1556 593 919 1575 706 2841 13 264 1001 2627 1568 571 2022 588 1236 450 3142 3026 856 1213 2726 457 1239 100 1715 397 2163 2893 243 2431 2959 1656 545 2595 1877 1915 1846 1614 1602 362 3041 2182 3118 2652 910 2232
27,1219 471 1132 415 1795 1414 1575 783 331 294 2627 919 525 2942 1765 3161 3156 2821 1236 3031 1407 397 215 1214 283 2385 422 1119 2595 1755 1684 719 465 1969 371 1111 2149 3152 275 1347 845 2392 745 703 1672 1207 847 625 1209 1077
28,2811 676 1405 613 655 1975 1054 239 629 3210 719 2652 825 1193 1240 865 2022 1269 1195 1386 2182 1455 1203 2537 1088 710 1156 751 1197 2464 3189 2463 677 2164 2129 1681 3194 2196 1686 275 2809 457 465 2726 2173 471 2971 1770 1465 2350
29,2111 2080 100 868 964 1197 497 803 1973 2652 2398 1784 1443 838 702 2463 706 1386 457 3041 770 2807 48 1023 2428 783 505 2470 1657 428 1156 1200 1643 1407 517 1292 2057 1835 2035 91 2976 3233 2351 1239 2649 1944 1706 2883 3064 959
